time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1684473808.17754364,0.02422400,1434,0.00042515,0.00000000,0,0.00000000,9111,9097,33,0.00049035
1684473808.27765512,0.02201873,1430,0.00015253,0.00000000,0,0.00000000,9097,9115,24,0.00083984
1684473808.37760997,0.02284491,1434,0.00031546,0.00000000,0,0.00000000,9115,9146,38,0.00040077
1684473808.47759295,0.02385903,1401,0.00021459,0.00000000,0,0.00000000,9146,9162,32,0.00052848
1684473808.57759595,0.02162800,1426,0.00031069,0.00000000,0,0.00000000,9162,9188,38,0.00038846
1684473808.67762017,0.02407131,1405,0.00043158,0.00000000,0,0.00000000,9188,9201,46,0.00054738
1684473808.77754784,0.01691074,1395,0.00015637,0.00000000,0,0.00000000,9201,9216,22,0.00045167
1684473808.87786555,0.01708467,1424,0.00020608,0.00000000,0,0.00000000,9216,9224,29,0.00053487
1684473808.97757602,0.01932718,1406,0.00015762,0.00000000,0,0.00000000,9224,9242,18,0.00041126
1684473809.07788420,0.02189214,1409,0.00016875,0.00000000,0,0.00000000,9242,9253,24,0.00066143
1684473809.17759609,0.01945559,1409,0.00020240,0.00000000,0,0.00000000,9253,9281,32,0.00038903
1684473809.27789354,0.01856527,1409,0.00021545,0.00000000,0,0.00000000,9281,9291,27,0.00039514
